Label,statement,subjects,speaker_name,speaker_job,speaker_state,speaker_affiliation,statement_context
mostly-true,"Canadian middle class incomes are now higher than in the United States. They are working fewer hours for more pay, living longer on average, and facing less income inequality.",health-care$income$labor,hillary-clinton,Presidential candidate,New York,democrat,a speech at the New America Foundation
true,Says a federal judge sanctions Tennessee birther lawyer for bringing a frivolous lawsuit.,obama-birth-certificate,tennessee-democratic-party,,Tennessee,democrat,in a press release.
mostly-true,95 percent of the income gains in the last few years have gone to the top 1 percent.,income$jobs,neera-tanden,President of the Center for American Progress,,newsmaker,comments on NBC's Meet the Press
true,"Gov. Romney was very clear, he would veto the DREAM Act.",immigration,david-plouffe,Senior Adviser to the President,,democrat,a comment on 'Fox News Sunday'
mostly-true,"All 28 members of NATO have pledged to spend at least 2 percent of their economy on defense. But only three countries do -- Britain, Greece and us.",economy$foreign-policy$iraq$military,paul-ryan,U.S. Representative,Wisconsin,republican,a speech
half-true,We have never done business with Donald Trump.,candidates-biography,patrick-murphy,,Florida,democrat,a TV interview on WFLA
mostly-true,Polls now show a majority of Catholics favor marriage equality.,gays-and-lesbians$marriage,steven-goldstein,,,none,an opinion column in The Star-Ledger
true,"The national debt has gone up by $1,729,000,000 during the Isner v. Mahut match.",federal-budget,vern-buchanan,U.S. Rep.,Florida,republican,a tweet
barely-true,Says he signed legislation leading to 12 Texas abortion clinics being closed.,abortion$state-budget$state-finances,rick-perry,Governor,Texas,republican,a South Carolina forum.
mostly-true,The House of Representatives has never passed a resolution of disapproval to condemn a member's behavior.,history,john-boehner,Speaker of the House of Representatives,Ohio,republican,a floor speech
mostly-true,Hurricane Irene was the second-largest storm to hit North America in terms of power outages -- and the first hurricane to make landfall in New Jersey since 1904.,energy$weather,jersey-central-power-light,,,none,an advertisement
half-true,"President Barack Obamas veto of the Keystone XL pipeline killed 42,000 jobs.",energy$jobs,tom-graves,,,republican,a press release
false,Says Texas has been waiting for two years for the federal government to act on a proposal to allow the state to create insurance opportunities for those that are uninsured today.,health-care$states$transparency,rick-perry,Governor,Texas,republican,an interview
half-true,"Says Sen. Mark Begich is ineffective because he has only passed one bill, the naming of a building.",congress$message-machine-2014,dan-sullivan,Alaska Department of Public Resources commissioner,Alaska,republican,a Facebook meme
half-true,Florida has the most errors and exonerations from death row.,legal-issues$supreme-court,aclu-florida,,Florida,none,a news release
barely-true,Stimulus dollars paid for windmills from China.,china$energy$message-machine-2012$stimulus,mitt-romney,Former governor,Massachusetts,republican,a campaign commercial
half-true,"Insured Floridians pay about $2,000 for every hospital stay to cover the cost of the uninsured.",health-care$medicaid,florida-chamber-commerce,,Florida,none,a report on health care costs
half-true,"Says about 100,000 kids in this country leave their home state and go to another state to be educated. Out of that 100,000 young people, 30,000 of them are from New Jersey, by far the largest amount.",education,lou-greenwald,State Assemblyman,New Jersey,democrat,an interview with Blue Jersey
half-true,The nuclear agreement with Iran never sunsets. Theres no sunset in this agreement.,foreign-policy$nuclear,john-kerry,Secretary of State,Massachusetts,democrat,an interview on MSNBC's Morning Joe
half-true,95 percent of teachers and principals are not implicated in the [Atlanta Public Schools cheating scandal] report at all.,education,shirley-franklin,,Georgia,democrat,a television interview
barely-true,"It has been estimated that nearly 40 percent of all guns sold in America are sold by private, unlicensed sellers either online or through gun shows.",guns,terry-mcauliffe,Governor,Virginia,democrat,an executive order.
true,"The Associated Press called Charlie Crist's attacks over the top, out of context, and not true.",candidates-biography,marco-rubio,U.S. Senator,Florida,republican,a TV advertisement.
true,Liberty University students were mandated to attend Sen. Ted Cruzs presidential announcement or they would be fined.,elections,jess-mcintosh,,,democrat,a broadcast of MSNBC's All in with Chris Hayes
half-true,About 3 percent of Gov. Nathan Deals appointments have been African-American.,civil-rights$public-service,vincent-fort,State Senator,Georgia,democrat,a speech
extremely-false,Democrats are poised now to cause this largest tax increase in U.S. history.,taxes,sarah-palin,,Alaska,republican,an interview on Fox News Sunday
true,Barack Obama voted against born alive legislation in Illinois that was virtually identical to the federal law.,abortion,national-right-life-committee,,,none,a published piece on their Web site
true,"The extra point is almost automatic. (The NFL) had five missed extra points this year out of 1,200 some odd attempts.",sports,roger-goodell,NFL commissioner,,none,an interview on NFL.com
extremely-false,"If you look at the application for a security clearance, I have a clearance that even the president of the United States cannot obtain because of my background.",candidates-biography$military,allen-west,"U.S. representative, Florida District 22",Florida,republican,a candidate forum
mostly-true,Says there have been well over 54 million abortions since 1973.,abortion$supreme-court$women,chris-smith,,,republican,a speech on the House floor
mostly-true,"Forty-five percent of those whove been unemployed, theyve been unemployed for six months or longer.",economy$pundits$abc-news-week$workers,donna-brazile,Political commentator,"Washington, D.C.",democrat,a roundtable discussion on ABC's This Week with Christiane Amanpour
half-true,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",jobs,oregon-lottery,,,organization,a website 
mostly-true,There was a recent report out that the premiums for Medicare and the payroll withholdings are only paying about half the program. So it is not financially solvent.,federal-budget$medicare,tim-pawlenty,,,republican,a debate in New Hampshire
mostly-true,Independent voters have a ten-point margin in favor of Mitt Romney right now.,polls,bob-mcdonnell,Governor,Virginia,republican,an interview on ABC's This Week
mostly-true,(Obamacare) is a bill which has never once had a majority of Americans favor it.,health-care$polls$pundits,newt-gingrich,Co-host on CNN's Crossfire,Georgia,republican,on CNN's Crossfire
false,On whether to run for the U.S. Senate as an independent.,elections,charlie-crist,,Florida,democrat,various comments over the past few months
false,Gov. McDonnells proposed budget is cutting public education.,city-budget$county-budget$education$pensions$state-budget,donald-mceachin,State senator,Virginia,democrat,a speech.
mostly-true,"Says Walmart employees represent the largest group of Medicaid and food stamp recipients in many states, costing the taxpayer $1,000 per worker.",corporations$medicaid$welfare$workers,alan-grayson,U.S. House of Representatives,Florida,democrat,a Huffington Post column
barely-true,Whats clear is (Romney) likes firing people.,candidates-biography$economy$jobs,jon-huntsman,,Utah,republican,"comments to reporters in Concord, N.H."
extremely-false,"Under the new health care law, all real estate transactions will be subject to a 3.8% Sales Tax",health-care$market-regulation$taxes,chain-email,,,none,a chain e-mail
extremely-false,"I am the only candidate who ran in either primary who said, I will not raise taxes on the middle class.",taxes,hillary-clinton,Presidential candidate,New York,democrat,a speech.
mostly-true,"Says President Barack Obama said that if he doesnt turn the economy around after three years in office, hell be a one-term president.",economy,michele-bachmann,Congresswoman,Minnesota,republican,several speeches and interviews
mostly-true,Says Donald Trump has bankrupt four separate businesses.,bankruptcy$candidates-biography$gambling,mark-warner,U.S. Senator,Virginia,democrat,a TV interview.
barely-true,"Says Connie Mack takes two homestead exemptions, directly contrary to Floridas Constitution.",candidates-biography$debates$taxes,bill-nelson,,Florida,democrat,"in a debate in Davie, Fla."
true,"If we keep the minimum wage at the current level, then single-parent families earning the minimum wage at a full-time job will live in poverty in New Jersey.",poverty$workers,wayne-deangelo,,,democrat,a Letter to the Editor in The Times of Trenton
true,The city of Portland has won more national Constitution contests than any city in America.,debates$education,earl-blumenauer,U.S. representative,Oregon,democrat,a forum 
barely-true,Says because of Hurricane Sandy in Atlantic City much of that boardwalk no longer exists -- just the pillars where the boardwalk used to be.,tourism$weather,frank-lautenberg,U.S. Senator,New Jersey,democrat,a speech on the Senate floor
true,Owen in MA vs. Owen in RI Advantage:Rhode Island.,corporations$economy$jobs,gina-raimondo,venture capital company founder,Rhode Island,democrat,economic development report
false,Says Texas public school funding grew three times the rate of enrollment from 2002 to 2012.,education$state-budget$state-finances,rick-perry,Governor,Texas,republican,a press conference.
half-true,No one knows who bought the [38 Studios] bonds. And there was some language put in the bond offer that they must remain anonymous.,bankruptcy$corporations$economy$transparency,jim-taricani,"Investigative reporter, WJAR-TV",Rhode Island,journalist,a comment made on 10 News Conference.
half-true,"During his tenure in Washington and in the Illinois State Senate, Barack Obama has accumulated a record of bipartisan success.",job-accomplishments,barack-obama,President,Illinois,democrat,the campaign's website.
half-true,Says it will cost $220 per square foot in hard construction costs to rebuild Portland Public high schools.,education$message-machine-2012,our-portland-our-schools,,,organization,campaign material
mostly-true,"A violent felon can buy (a gun) over the Internet with no background check, no questions asked.",guns,barack-obama,President,Illinois,democrat,a speech proposing executive action on gun regulations
false,Says Rick Perry said theres an administrator for every teacher in Texas public schools.,education$state-budget$state-finances,doug-otto,"Superintendent, Plano Independent School District",Texas,none,a radio interview.
half-true,"Elena Kagan has published five scholarly review articles, mostly on administrative law and the First Amendment. These articles were mostly on technical and procedural issues.",job-accomplishments$kagan-nomination$legal-issues$pundits$supreme-court,david-brooks,,,none,a column
barely-true,"One person, Kathleen Sebelius, was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die.",children$health-care$public-health$pundits,rush-limbaugh,Radio host,,none,his radio show
false,We can save $125 billion in simply not giving out money to Medicare recipients that dont exist for procedures that didnt happen.,federal-budget$government-efficiency$medicare,darrell-issa,U.S. House of Representatives,California,republican,CBS's Face the Nation
false,"Pls refer to Jan.1 tax changes appropriately: theyre OBAMA TAX HIKES theyll slam every Americans savings, investments job opportunity",taxes,sarah-palin,,Alaska,republican,a Twitter message
barely-true,EPA officials have commended (Koch Industries) for our commitment to a cleaner environment and called us a model for other companies.,environment$market-regulation,charles-koch,Koch Industries,Kansas,none,an op-ed for the Wall Street Journal.
extremely-false,"If the Stamp Farm wind turbine is built, the health risk of flicker impact created by shadows of blades of turbines poses real and significant health risks, particularly seizures.",energy$environment,laurence-ehrhardt,State Representative,Rhode Island,republican,a commentary in The Providence Journal
mostly-true,I never gave up custody of my children. I never lost custody of my children.,candidates-biography$corrections-and-updates$families$marriage,wendy-davis,state senator,Texas,democrat,a speech
barely-true,The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,economy$jobs,bill-johnson,U.S. representative,Ohio,republican,a telephone town hall meeting
true,Says Mitt Romney flip-flopped on a taxpayer protection pledge.,message-machine-2012$taxes,democratic-national-committee,,,none,a campaign advertisement
true,Thirty U.S. cities have Triple A baseball teams and virtually everyone of them [is] playing in government owned ballparks.,baseball$recreation$sports,james-skeffington,lawyer,Rhode Island,business-leader,a radio interview
barely-true,"Barbara Boxer voted to cut spending on Medicare benefits by $500 billion, cuts so costly to hospitals and nursing homes that they could stop taking Medicare altogether.",health-care$medicare$message-machine$retirement,crossroads-gps,Conservative advocacy group,,republican,a television ad
barely-true,Floridas revenue is growing at a faster rate than almost any state in the country.,economy$taxes,jeb-bush,,Florida,republican,public remarks
half-true,Says she voted for a statewide fracking ban.,corrections-and-updates$environment,dana-young,Majority Leader for the Florida House of Representatives ,Florida,republican,a mailer
half-true,Mr. Hurt would re-open that darn (Medicare) doughnut hole.,medicare$message-machine,tom-perriello,lawyer,Virginia,democrat,a TV ad.
barely-true,"Some of the colleges, including AM, have already guaranteed that they will not increase their tuition.",education$state-budget,jimmie-don-aycock,State representative,Texas,republican,remarks on the floor of the Texas House
false,The American slave trade caused 5 million deaths or more.,history,jon-stewart,,,none,a broadcast of The Daily Show
barely-true,The Congressional Budget Office estimates that only 15 percent of this stimulus package will be spent in 2009 and only 37 percent in 2010.,economy$stimulus,pat-roberts,U.S. Senator,Kansas,republican,remarks made in the Senate
false,I can tell you with certainty (capandtrade)would have a devastating impact on our economy.,cap-and-trade$climate-change,marco-rubio,U.S. Senator,Florida,republican,an interview on CBS' Face the Nation
half-true,"Says Thomas Jefferson said, You might be able to fool the people for awhile, and they may go astray, but sooner or later the American people are going to wake up and they will correct the course.",health-care$history,herman-cain,,Georgia,republican,a video on Cain TV
mostly-true,"In our community college system (state) cuts have reduced funding per student by $1,908.",education$state-budget,terry-mcauliffe,Governor,Virginia,democrat,a website post.
half-true,Weve seen more manufacturing jobs created since Ive been president than anytime since the 1990s. Thats a fact.,economy$labor,barack-obama,President,Illinois,democrat,in a town hall
half-true,The states that have raised the minimum wage (this year) have had faster job growth than the states that havent raised the minimum wage.,economy$states$workers,barack-obama,President,Illinois,democrat,"a speech in Princeton, Ind."
true,A man using bath salts reported that raccoons had set fire inside his home and stolen his cell phone.,crime$criminal-justice$drugs,mike-dewine,Ohio attorney general,Ohio,republican,a news conference
barely-true,The only reason the unemployment rate is going down is because twice as many people dropped out of the employment pool as the number of jobs were created.,economy$jobs$workers,newt-gingrich,Co-host on CNN's Crossfire,Georgia,republican,a press conference
barely-true,Sotomayor ruled against the white firefighter Ricci and other white firefighters just on the basis that she thought women and minorities should be given a preference because of their skin color and because of the history of discrimination in the past. The law was totally disregarded.,pundits$sotomayor-nomination$supreme-court,rush-limbaugh,Radio host,,none,his radio program
true,Says Donald Trumps tax plan gives the wealthy and corporations more than the Bush tax cuts by at least a factor of two.,taxes,hillary-clinton,Presidential candidate,New York,democrat,the second presidential debate
half-true,"We are dealing with an administration that, quite frankly, has shown a reluctance to enforce the immigration law.",immigration,marco-rubio,U.S. Senator,Florida,republican,a Fox News interview
mostly-true,"A bag of Cheetos costs less to buy than an apple, and in some Milwaukee neighborhoods good luck trying to find an apple or a banana or some sort of healthy option",public-health$welfare,mike-tate,,,democrat,a radio interview
mostly-true,"My friend, we have increased the size of government by some 40 percent just in the last few years.",federal-budget,john-mccain,U.S. senator,Arizona,republican,a television interview.
barely-true,Says Russ Feingold cut Medicare by $523 billion.,federal-budget$medicare$message-machine,ron-johnson,,Wisconsin,republican,campaign literature mailed to state residents
barely-true,Says Mitt Romney flip-flopped on supporting the presidents Recovery Act.,message-machine-2012$stimulus,democratic-national-committee,,,none,a campaign ad
barely-true,We're also cutting a Forest Service economic development program that strayed so far from any mission that it funded a music festival.,federal-budget,barack-obama,President,Illinois,democrat,remarks on the budget
false,"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.",economy$federal-budget$jobs$transportation,sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,a speech on the floor of the U.S. Senate
half-true,"Since the Fed was created in 1913, the U.S. Dollar has lost 98% of its purchasing power.",economy$financial-regulation$income,virginia-tea-party-patriots,,,none,a letter to Congress.
barely-true,"Sherrod Brown opposed blocking a new EPA emissions rule, despite acknowledging that the EPAs cap-and-trade regulations are burdensome and could harm economic growth in Ohio.",economy$environment$government-regulation$jobs,josh-mandel,Ohio treasurer,Ohio,republican,a news release
false,"When Sarah Palin was in government, Barack Obama was a community organizer.",candidates-biography,john-mccain,U.S. senator,Arizona,republican,"Pittsburgh, Pa. "
true,The Buffett Rule will bring in less than $5 billion per year. ... Enough to pay one weeks interest on the national debt.,deficit$federal-budget$taxes,rob-portman,U.S. senator from Ohio,Ohio,republican,a column in Politico
true,The U.S. Department of Homeland Security warned that the SAVE database is not a foolproof means of verifying (citizenship on) the voter rolls.,elections,league-women-voters-florida,,Florida,none,a statement
barely-true,The Rev. Rick Warren has called Christians who advance a social gospel Marxists.,religion,people-american-way,,,none,Press release
mostly-true,Every other major country has family paid leave.,families$women$workers,bernie-s,U.S. Senator,Vermont,independent,the CNN Democratic presidential debate in Las Vegas
mostly-true,"A part-time Congress with half the pay would still make $38,000 a year more than the average American family.",income,rick-perry,Governor,Texas,republican,a letter to Nancy Pelosi
false,Says that Sherrod Brown voted to cut Medicare by over $500 billion in order to fund government-run health care.,health-care$medicare$voting-record,national-republican-senatorial-committee,,,republican,a news release
half-true,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,crime$debt$federal-budget$social-security,americans-united-change,,,none,an ad
half-true,"Statistics show that more people at this time telecommute than they ride carpools, mass transit, bicycle or walk.",transportation,debbie-dooley,,Georgia,tea-party-member,a speech
barely-true,Bill Nelsons vote for the Affordable Care Act cuts $500 billion from Medicare to pay for new government programs.,federal-budget$medicare$message-machine-2012,american-commitment,,,none,a TV ad
true,Texas has lost the most law enforcement officers in the line of duty of any state in America.,crime$criminal-justice$history,charley-wilkison,"executive director, Combined Law Enforcement Associations of Texas (CLEAT)",Texas,none,an interview with Laura Rice for the Texas Standard
barely-true,"Congress, criminals, Scientologists and other groups are exempt from Obamacare.",health-care$religion,facebook-posts,Social media posting,,none,Facebook posts
barely-true,There are many health insurance plans that will cover Viagra but won't cover birth-control medication.,health-care,john-mccain,U.S. senator,Arizona,republican,"remarks to reporters by campaign adviser Carly Fiorina in Washington, D.C."
true,Wisconsins attorney general and state treasurer ordered the daughter of Earth Day founder Gaylord Nelson not to discuss climate change on state time.,climate-change,next-generation-climate-action-committee,,,democrat,a blog post
true,Maurice Ferre says Kendrick Meek has voted 98.6 percent of the time with the Democrat party.,voting-record,maurice-ferre,Former mayor of Miami,Florida,democrat,an editorial meeting.
false,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",foreign-policy$military$terrorism,donald-trump,President-Elect,New York,republican,a presidential debate at Hofstra University
false,Super Bowl L by everybodys estimation is a $500 million economic impact to the state of Florida.,economy$sports,ron-book,lobbyist,Florida,none,a state legislative committee hearing
half-true,"In North Carolina, now were near the national average for unemployment.",economy$states$workers,thom-tillis,House Speaker and U.S. Senate candidate,North Carolina,republican,a debate
true,The facts show that approximately 40 persons on death row have had all of their appellate review completed and await only the governors signature on a death warrant to end the case.,criminal-justice,geraldine-thompson,State Representative,Florida,democrat,comments made on the House floor.
barely-true,Says the estate tax is a threat to family farms.,agriculture$taxes,kentucky-opportunity-coalition,,Kentucky,republican,a campaign ad
barely-true,Says tanking Rick Perrys federal tax plan has huge tax cuts for rich people and big tax hikes for everyone else.,pundits$taxes,rachel-maddow,MSNBC host,,none,a TV commentary.
true,"Under a law proposed by Wisconsin Gov. Scott Walker, businesses that move into Wisconsin dont have to pay any taxes on their income for two years.",jobs$taxes,mahlon-mitchell,,,democrat,remarks
barely-true,We have the highest rate of childhood poverty of any major country on Earth.,poverty,bernie-s,U.S. Senator,Vermont,independent,an interview on CNN
extremely-false,Says Attorney General Loretta Lynch was a member of Bill Clintons defense team during the 1992 Whitewater corruption probe.,candidates-biography$crime$criminal-justice$history,viral-image,,,none,a posting on Twitter
false,Only a few months ago the FBI arrested three Broward County Commissioners for accepting millions of dollars in trade for illegal favors.,crime,jeff-kottkamp,,Florida,republican,a position paper on his campaign website
extremely-false,An aide acted on his own and was not representing the Thompson campaign when he sent an email criticizing the sexual orientation of U.S. Senate candidate Tammy Baldwin.,elections,tommy-thompson,,Wisconsin,republican,an email 
false,On support of Gov. John Kasichs drilling tax plan,taxes,bill-batchelder,State representative,Ohio,republican,
barely-true,"Wisconsin ranks No. 2 in economic growth, according to the Federal Reserve Bank of Philadelphia.",economy,scott-walker,Milwaukee County Executive,Wisconsin,republican,a news release
mostly-true,"This governor has cut funding repeatedly for people who have AIDS, who need drugs to save their life.",health-care$state-budget,herb-conaway,New Jersey Assemblyman,New Jersey,democrat,a rally at the Statehouse
half-true,Mr. Renacci was registered as a foreign trade lobbyist in the United States government.,campaign-advertising$trade,john-boccieri,Former member of Congress,Ohio,democrat,a debate
mostly-true,Women fill two-thirds of minimum wage jobs.,workers,hillary-clinton,Presidential candidate,New York,democrat,a roundtable event on women's economic security
false,Gov. Crist's veto also clears the way for taxpayer funding of abortion in Florida.,abortion,marco-rubio,U.S. Senator,Florida,republican,a campaign press release
barely-true,"In the recent House special election in Florida, Democrats got outspent in a Republican district.",campaign-finance,democratic-national-committee,,,none,a fundraising email
half-true,"When Mitt Romney was governor, Massachusetts ... (had) more debt per person than any other state in the country.",deficit$history$state-finances$states,barack-obama,President,Illinois,democrat,a campaign ad
mostly-true,A test last month at the MAX station at 162nd Avenue and East Burnside saw crime down 41 percent compared with December 2009,crime$transportation,jefferson-smith,state representative,Oregon,democrat,an article in The Oregonian
false,"Under President Barack Obama, income levels and unemployment numbers are worse now than just about ever for African-Americans.",economy,donald-trump,President-Elect,New York,republican,an interview on ABC This Week
barely-true,The clear majority of Republican voters think that any deficit reduction package should have a balanced approach and should include some revenues.,federal-budget$polls$taxes,barack-obama,President,Illinois,democrat,a press conference
false,They (Clinton and Obama) have never to my knowledge been involved in legislation nor hearings nor engagement on this issue (climate change).,environment,john-mccain,U.S. senator,Arizona,republican,"North Bend, Wash."
mostly-true,"Over 80 percent of the people want the shot to vote on whether to approve same-sex marriage, according to polls.",civil-rights$gays-and-lesbians$marriage,vincent-buddy-cianci,,Rhode Island,independent,an ABC-6 interview program
extremely-false,"Ninety-four percent of the bills that pass the Senate have no debate, no vote, no amendments, no reading of the bill, no online disclosure.",government-efficiency$transparency,jim-demint,"President, Heritage Foundation",South Carolina,republican,YouTube video of a floor speech
false,"When the Milwaukee County mental health facility is full, cops sit out there in their squad cars with a mentally ill patient and sometimes spend an entire shift out there doing that.",county-budget$health-care,jim-sullivan,"Former State Senator, 5th District",Wisconsin,democrat,a meeting with Journal Sentinel reporters and editors
barely-true,"Three years after getting the $100 million (from Mark Zuckerberg), less than two-thirds of students in Cory Bookers Newark graduate.",education,bookerfail,,,none,a YouTube video
true,You ... said that Barack Obama was not ready to be commander in chief.,candidates-biography,sarah-palin,,Alaska,republican,"St. Louis, Mo."
true,Americas wealthiest 25 percent pay 86 percent of total income taxes. Wealthiest 5 percent pay 60 percent of total income taxes.,taxes,tom-graves,,,republican,a Twitter post
barely-true,Says Jeb Bush said he would take his pants off and moon everybody ... Nobody reports that.,elections,donald-trump,President-Elect,New York,republican,a Republican debate in South Carolina
mostly-true,The American people will be appalled to learn the health care bill exempts (congressional) leadership and committee staff.,health-care,tom-coburn,U.S. Senator,Oklahoma,republican,comments to reporters
false,The City of Milwaukee uses the building inspection area as a revenue base.,city-budget,lee-holloway,"Chairman, Milwaukee County Boaerd of Supervisors",Wisconsin,none,a speech at his swearing-in ceremony
barely-true,The Hollywood celebrities endorsing Hillary Clinton are in many cases celebrities that arent very hot anymore.,candidates-biography,donald-trump,President-Elect,New York,republican,"at a rally in Tampa, Fla."
half-true,Says she stood up to Gov. Scott Walker on tax cuts for wealthy corporations while her congressional opponent voted with Walker.,economy$jobs$state-budget$taxes,kelda-helen-roys,,,democrat,news conference remarks
false,On the importance of an independent voting record,elections$job-accomplishments,barack-obama,President,Illinois,democrat,a speech in Boston
half-true,New Hampshire has lost more jobs to China than any other state.,economy,senate-majority-pac,political action committee,"Washington, D.C. ",democrat,a campaign ad
false,Almost all of the polls that have come out suggest that I am a much stronger candidate against the Republicans than is Hillary Clinton.,polls,bernie-s,U.S. Senator,Vermont,independent,"a town hall meeting in Underwood, Iowa."
extremely-false,"Obama says America is great, but let's try to change it.",patriotism,blog-posting,,,none,a blog posting
barely-true,"Every billion dollars we spend on highway construction results in 47,500 jobs. But the fact is the average American is sitting in traffic 38 hours a year.",transportation,mike-huckabee,author,Arkansas,republican,"a Republican debate in Simi Valley, Calif."
mostly-true,"Based on the August 2012 national jobs numbers, for every person who got a job, nearly four people stopped looking for a job.",jobs,paul-ryan,U.S. Representative,Wisconsin,republican,a television interview
half-true,A golf course closes somewhere in America every 48 hours.,sports,bryant-gumbel,Broadcaster,New York,none,an episode of HBO's Real Sports with Bryant Gumbel
barely-true,We came out against Deepwater and everybody is now paying for [the project] in their electric bills.,energy$environment,lisa-blais,"member, board of directors, Ocean State Tea Party in Action",Rhode Island,ocean-state-tea-party-action,a radio interview
mostly-true,"To comply with non-discrimination laws, the government is forcing people in business to make wedding cakes for anyone.",civil-rights$diversity,glenn-beck,,,none,comments on his radio program
barely-true,"Says Hillary Clinton has been saying lately that she thinks that I am, not qualifiedto be president.",candidates-biography$elections$campaign-advertising,bernie-s,U.S. Senator,Vermont,independent,a speech at Temple University
mostly-true,"In 1993, Newt Gingrich first advocated for the individual mandate in health care. And as recently as May of this year, he was still advocating for it.",health-care,michele-bachmann,Congresswoman,Minnesota,republican,"a Republican presidential debate in Des Moines, Iowa"
barely-true,Rubio's got more experience than Obama had.,candidates-biography,richard-land,President of the Southern Baptist Convention’s Ethics & Religious Liberty Commission,,none,an interview with Politico
extremely-false,"Obamacare is the biggest job-killer in this country -- millions of Americans have lost their jobs, have been forced into part-time work.",health-care,ted-cruz,Senator,Texas,republican,comments during the Iowa Republican presidential debate
barely-true,Says six studies verify that the math adds up for Mitt Romneys tax plan.,taxes,paul-ryan,U.S. Representative,Wisconsin,republican,the vice presidential debate
true,One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth.,iraq,john-mccain,U.S. senator,Arizona,republican,a TV ad
true,It is against the law for the NSA to record or monitor Americans phone calls without getting a specific FISA warrant to do so.,privacy$terrorism,lynn-westmoreland,,,republican,an article
false,"Says when Rhode Island Lottery was proposed, state residents were enticed to vote for it with the promise that the money would be used for education.",education$gambling$history$state-budget$state-finances,harold-metts,Retired educator,Rhode Island,democrat,a news release
false,On opposing any and all efforts to increase taxes.,taxes$transportation,nathan-deal,,,republican,pledge
half-true,Says Donald Trumps plan to repeal the estate tax would mean the Walmart Walton family would get a $53 billion tax break.,families$taxes$wealth,bernie-s,U.S. Senator,Vermont,independent,a speech
mostly-true,"Says 3,000 Americans died of gunfire between the time of the Ebola scare in Dallas and the midterm elections.",guns$public-health,doonesbury,,,none,the Sunday comics
barely-true,Says Iraq has been overrun by ISIS because Hillary Clinton failed to renegotiate . . . a status of forces agreement.,foreign-policy$iraq$military$terrorism,mike-pence,Governor,Indiana,republican,the 2016 Vice Presidential debate
false,The Benghazi probe is the longest-running congressional investigation ever.,congress$history$terrorism,hillary-clinton,Presidential candidate,New York,democrat,a campaign Tweet
false,"Prior to Obamacare here in Wisconsin, 95 percent of Wisconsinites were covered by insurance. After Obamacare, 95 percent of Wisconsinites were covered by insurance. It hasnt had an impact.",health-care,ron-johnson,,Wisconsin,republican,a U.S. Senate debate
half-true,Amendment 2 will bring kid-friendly pot candy to Florida.,marijuana,vote-no-2,,Florida,none,a mailer
true,I spent only $36.29 on my campaign for governor.,campaign-finance$elections$jobs,robert-healey,lawyer,Rhode Island,independent,interviews
false,The (national) debt really added up $75 trillion in 2010 and is on track to hit $99 trillion this year.,deficit$federal-budget$medicare$social-security,scott-rigell,U.S. Congressman,Virginia,republican,a newsletter.
barely-true,Chemical weapons have been used probably 20 times since the Persian Gulf War.,foreign-policy$military$terrorism,ted-yoho,U.S. House of Representatives,Florida,republican,an interview on Fox Business Network
mostly-true,"In Austin, Ive got half-a-dozen or more schools on a list to be closed one of which I presented a federal blue-ribbon award to for excellence. And several hundred school personnel on the list for possible terminations.",education,lloyd-doggett,Texas congressman in the U.S. Houst of Representatives,Texas,democrat,comment quoted in a column.
half-true,State Medicaid expansion will save our treasury $1 billion over the next eight years.,medicaid$state-budget,terry-mcauliffe,Governor,Virginia,democrat,a radio interview.
half-true,Using a surcharge on the cigarette tax to help pay for a new downtown sports arena is not feasible under state law.,taxes,tom-barrett,Mayor of Milwaukee,Wisconsin,democrat,an interview
half-true,The Romney-Ryan plan for Medicare does not affect benefits for anyone 55 or older.,health-care$medicare,paul-ryan,U.S. Representative,Wisconsin,republican,a campaign stop at The Villages
half-true,"As state treasurer, Alexi Giannoulias lost $73 million in our kids college savings.",economy$education$message-machine,mark-kirk,U.S. Senator,Illinois,republican,a TV ad
true,We spend three times more on entitlements and debt services than we do on defense.,federal-budget$social-security,sarah-palin,,Alaska,republican,a Facebook posting
extremely-false,"Starting in 2011, you will be required to pay taxes on the value of whatever health insurance you are given by the company.",health-care$taxes,chain-email,,,none,a chain e-mail
barely-true,"Challenger Tim Tuggey is a lobbyist who donated over $41,000 to Democrats who support abortion and same-sex marriage.",abortion$education$elections$gays-and-lesbians,ken-mercer,Software engineer,Texas,republican,an advertisement
false,"It was found unconstitutional to drug test elected officials because it prevents us, as citizens, from having that First Amendment right.",drugs,jimmie-t-smith,State Representative,Florida,republican,a House committee debate
